"","icpsr","bioguide_id","fec_candidate_id","office_last","state_last","district_last"
"1",39310,"C000127","S8WA00194","Senate","WA",1
"2",40700,"K000367","S6MN00267","Senate","MN",NA
"3",29147,"S000033","H8VT01016","Senate","VT",0
"4",40704,"W000802","S6RI00221","Senate","RI",NA
"5",40707,"B001261","S6WY00068","Senate","WY",NA
"6",29534,"W000437","H4MS01078","Senate","MS",1
"7",49703,"C001035","S6ME00159","Senate","ME",NA
"8",40305,"C001056","S2TX00106","Senate","TX",NA
"9",15021,"D000563","S6IL00151","Senate","IL",20
"10",29566,"G000359","S0SC00149","Senate","SC",3
"11",14921,"M000355","S2KY00012","Senate","KY",NA
"12",40908,"M001176","S8OR00207","Senate","OR",NA
"13",29142,"R000122","S6RI00163","Senate","RI",2
"14",40902,"R000584","S8ID00092","Senate","ID",NA
"15",40906,"S001181","S0NH00219","Senate","NH",NA
"16",40909,"W000805","S6VA00093","Senate","VA",NA
"17",20735,"G000555","H6NY20167","Senate","NY",20
"18",40916,"C001088","S0DE00092","Senate","DE",NA
"19",29701,"A000055","H6AL04098","House","AL",4
"20",29940,"B001230","H8WI00018","Senate","WI",2
"21",40910,"B001267","S0CO00211","Senate","CO",NA
"22",20758,"B001257","H6FL09070","House","FL",12
"23",29339,"B000490","H2GA02031","House","GA",2
"24",20351,"B001243","H2TN06030","Senate","TN",7
"25",41101,"B001277","S0CT00177","Senate","CT",NA
"26",20101,"B001236","H2AR03176","Senate","AR",3
"27",20709,"B001260","H6FL13148","House","FL",16
"28",29323,"C000059","H2CA37023","House","CA",41
"29",20146,"C001047","H0WV02138","Senate","WV",2
"30",20757,"C001072","H8IN07184","House","IN",7
"31",20356,"C001051","H2TX31044","House","TX",31
"32",20919,"C001075","H8LA00017","Senate","LA",6
"33",20708,"C001066","H6FL11126","House","FL",14
"34",20955,"C001080","H0CA32101","House","CA",28
"35",20733,"C001067","H4NY11138","House","NY",9
"36",20517,"C001061","H4MO05234","House","MO",5
"37",39301,"C000537","H2SC02042","House","SC",6
"38",20748,"C001068","H6TN09068","House","TN",9
"39",20344,"C001053","H2OK04055","House","OK",4
"40",20501,"C001059","H4CA20082","House","CA",21
"41",20706,"C001069","H2CT02112","House","CT",2
"42",29345,"C000880","S8ID00027","Senate","ID",2
"43",21106,"C001087","H0AR01083","House","AR",1
"44",20533,"C001063","H2TX23082","House","TX",28
"45",29717,"D000096","H4IL07037","House","IL",7
"46",29710,"D000197","H6CO01141","House","CO",1
"47",29109,"D000216","H0CT03072","House","CT",3
"48",21179,"D000616","H0TN04195","House","TN",4
"49",20316,"D000600","H2FL25018","House","FL",26
"50",29571,"D000399","H4TX10028","House","TX",37
"51",21178,"F000459","H0TN03254","House","TN",3
"52",20521,"F000450","H4NC05146","House","NC",5
"53",20958,"G000559","H0CA10149","House","CA",8
"54",21103,"G000565","H0AZ01259","House","AZ",9
"55",14226,"G000386","S0IA00028","Senate","IA",3
"56",20124,"G000546","H0MO06073","House","MO",6
"57",20529,"G000553","H4TX09095","House","TX",9
